['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 24', 'Squat Jump', '12/10/2019 11:58', '89.7', 'Trial 1', '', '', '', '', '-17.5', '-15.5', '2.4', '-15.1', '34.9', '-17.5', '-100.0', '-94.3', '-100.0', '11.0', '', '8.8', '-29.3', '-8.9', '22.4', '-1.4', '-18.9', '', '-0.4', '21.6', '37.4', '26.6', '', '', '370.9', '305.9', '49.1', '41.5', '0.13', '0.14', '24.6', '20.8', '3692', '5674', '692', '571', '161', '-43', '1143', '66', '124', '-36', '1301', '1462', '', '', '864', '947', '157.4', '111.3', '213.5', '194.6', '1.36', '1.75', '573.3', '565.0', '366.9', '297.7', '', '', '1022', '1018', '52.7', '67.3', '29393', '46924', '2410', '3285']
['Athlete 24', 'Squat Jump', '12/10/2019 11:58', '89.7', 'Trial 2', '', '', '', '', '-6.2', '-28.5', '-23.8', '-37.4', '31.4', '-6.2', '40.0', '32.1', '26.8', '32.2', '', '6.2', '-17.5', '4.1', '20.9', '-3.2', '-7.0', '', '1.3', '1.7', '-5.2', '-15.5', '', '', '265.8', '249.4', '66.9', '47.8', '0.25', '0.19', '31.0', '19.4', '3606', '5254', '792', '743', '2113', '3524', '2562', '3772', '1922', '2626', '2455', '3620', '', '', '923', '983', '127.0', '104.8', '138.7', '144.7', '1.09', '1.38', '525.6', '508.9', '261.8', '243.4', '', '', '1081', '1095', '70.4', '71.6', '27583', '26155', '2289', '1936']
['Athlete 24', 'Squat Jump', '12/10/2019 11:58', '89.7', 'Trial 3', '', '', '', '', '-15.5', '-22.5', '-8.3', '-19.8', '17.0', '-15.5', '-100.0', '100.0', '-79.7', '9.2', '', '0.9', '-28.1', '-7.7', '22.1', '-0.6', '-9.7', '', '-2.5', '16.0', '-1.4', '-1.4', '', '', '379.3', '320.5', '52.9', '41.0', '0.14', '0.13', '25.7', '20.6', '5574', '6716', '688', '581', '682', '-38', '-170', '-347', '670', '136', '1530', '1685', '', '', '971', '980', '145.4', '104.6', '233.9', '215.9', '1.61', '2.06', '489.3', '486.3', '255.7', '231.0', '', '', '1132', '1104', '55.0', '65.5', '53949', '53221', '3399', '3353']
['Athlete 25', 'Squat Jump', '12/10/2019 11:11', '86.2', 'Trial 1', '', '', '', '', '-2.2', '-9.7', '-7.6', '-7.3', '-18.5', '-2.2', '-55.5', '-10.9', '-66.6', '-2.0', '', '-4.1', '-8.9', '2.7', '11.3', '8.6', '-2.7', '', '-2.3', '30.4', '-5.3', '5.9', '', '', '327.4', '320.3', '49.4', '44.7', '0.15', '0.14', '23.4', '21.7', '4348', '3544', '650', '636', '1016', '452', '908', '809', '1264', '422', '1308', '1282', '', '', '906', '869', '140.2', '127.8', '187.3', '192.5', '1.34', '1.51', '593.2', '648.8', '324.3', '315.6', '', '', '964', '941', '34.5', '49.6', '55920', '52935', '2740', '2911']
['Athlete 25', 'Squat Jump', '12/10/2019 11:11', '86.2', 'Trial 2', '', '', '', '', '-1.2', '-2.0', '-0.8', '-0.5', '-38.4', '-1.2', '-91.7', '-63.3', '52.6', '-6.7', '', '-5.2', '-6.7', '2.4', '9.0', '8.6', '-1.5', '', '-4.3', '13.7', '26.3', '26.3', '', '', '378.6', '374.0', '44.2', '43.3', '0.12', '0.12', '21.8', '21.7', '4040', '2490', '608', '601', '229', '19', '304', '112', '36', '76', '1032', '963', '', '', '918', '870', '151.1', '140.9', '227.5', '233.1', '1.51', '1.65', '616.5', '674.3', '375.3', '369.8', '', '', '981', '939', '47.2', '54.7', '41812', '56715', '2467', '3346']
['Athlete 25', 'Squat Jump', '12/10/2019 11:11', '86.2', 'Trial 3', '', '', '', '', '-2.1', '-11.2', '-9.3', '-10.8', '3.4', '-2.1', '-17.4', '-11.9', '-4.5', '7.8', '', '-3.1', '-5.9', '0.1', '5.9', '-3.8', '0.4', '', '-1.3', '23.1', '-39.8', '-26.3', '', '', '428.5', '419.7', '49.9', '44.3', '0.12', '0.11', '24.0', '21.4', '5550', '5748', '580', '568', '644', '532', '-812', '-725', '842', '804', '692', '751', '', '', '879', '852', '152.8', '143.9', '275.7', '275.8', '1.80', '1.92', '635.6', '611.2', '299.1', '300.3', '', '', '911', '899', '37.6', '48.9', '54465', '32778', '2669', '1967']
['Athlete 26', 'Squat Jump', '12/10/2019 09:41', '90.2', 'Trial 1', '', '', '', '', '4.1', '10.3', '6.5', '12.0', '-8.2', '4.1', '-2.1', '7.8', '-0.7', '-12.3', '', '-1.1', '9.1', '-0.7', '-9.8', '-0.8', '4.5', '', '-0.2', '-0.3', '9.8', '13.2', '', '', '323.2', '336.9', '50.6', '56.4', '0.16', '0.17', '22.9', '26.0', '2442', '2242', '651', '678', '1785', '1747', '1233', '1338', '1648', '1636', '1163', '1020', '', '', '855', '845', '148.7', '163.6', '174.5', '173.3', '1.17', '1.06', '586.8', '582.1', '317.8', '332.7', '', '', '889', '887', '41.9', '41.8', '98431', '109136', '5020', '5784']
['Athlete 26', 'Squat Jump', '12/10/2019 09:41', '90.2', 'Trial 2', '', '', '', '', '3.8', '4.1', '0.4', '4.1', '20.1', '3.8', '0.6', '-3.5', '-26.5', '-4.5', '', '-3.2', '3.9', '3.6', '-0.3', '10.5', '3.4', '', '1.7', '-15.4', '42.6', '25.7', '', '', '331.5', '344.5', '48.9', '51.0', '0.15', '0.15', '23.0', '24.0', '2256', '2824', '639', '664', '1263', '1270', '1242', '1199', '892', '656', '1050', '1003', '', '', '872', '844', '153.0', '159.3', '178.5', '185.2', '1.17', '1.16', '544.9', '608.7', '327.7', '339.2', '', '', '894', '910', '41.2', '34.9', '54988', '95868', '3134', '4218']
['Athlete 26', 'Squat Jump', '12/10/2019 09:41', '90.2', 'Trial 3', '', '', '', '', '6.5', '8.2', '1.8', '7.2', '21.9', '6.5', '14.6', '20.2', '9.9', '-4.7', '', '4.2', '8.6', '4.6', '-4.2', '11.8', '5.4', '', '1.3', '-30.7', '71.5', '58.5', '', '', '336.7', '360.1', '48.3', '52.6', '0.14', '0.15', '22.8', '24.6', '2206', '2826', '626', '670', '1084', '1270', '1050', '1317', '1004', '1114', '1022', '974', '', '', '851', '888', '153.3', '167.9', '183.4', '192.3', '1.20', '1.15', '560.5', '635.7', '334.2', '353.4', '', '', '897', '910', '54.8', '38.0', '33827', '118687', '2266', '5460']
['Athlete 27', 'Squat Jump', '12/9/2019 12:04', '94.3', 'Trial 1', '', '', '', '', '10.2', '3.8', '-6.6', '5.2', '-17.2', '10.2', '-36.8', '22.2', '-35.2', '6.9', '', '4.1', '7.2', '12.1', '5.3', '19.4', '10.2', '', '6.2', '-88.2', '86.7', '12.3', '', '', '348.2', '387.6', '48.9', '50.8', '0.14', '0.13', '23.6', '24.9', '4460', '3692', '660', '735', '706', '446', '650', '836', '630', '408', '1449', '1555', '', '', '1012', '1055', '142.3', '153.3', '205.9', '234.3', '1.45', '1.53', '725.5', '900.0', '344.0', '383.0', '', '', '1078', '1149', '52.8', '6.2', '23055', '173540', '1522', '1735']
['Athlete 27', 'Squat Jump', '12/9/2019 12:04', '94.3', 'Trial 2', '', '', '', '', '8.9', '6.3', '-2.8', '6.2', '6.3', '8.9', '-8.7', '9.1', '-35.7', '9.4', '', '4.9', '7.9', '9.6', '1.9', '8.9', '9.2', '', '8.8', '87.0', '-75.2', '24.3', '', '', '341.7', '375.1', '49.4', '52.7', '0.14', '0.14', '23.3', '24.9', '3320', '3544', '672', '737', '1140', '1041', '777', '855', '656', '422', '1321', '1457', '', '', '973', '1024', '142.3', '154.4', '199.4', '220.6', '1.40', '1.43', '744.5', '817.0', '336.8', '371.1', '', '', '1008', '1105', '6.8', '52.4', '124683', '30900', '1496', '1978']
['Athlete 27', 'Squat Jump', '12/9/2019 12:04', '94.3', 'Trial 3', '', '', '', '', '11.1', '11.1', '0.0', '10.4', '-17.8', '11.1', '30.2', '49.8', '11.4', '-9.4', '', '-5.1', '17.3', '6.5', '-11.6', '-1.9', '11.4', '', '0.8', '-10.0', '-33.8', '-16.2', '', '', '320.7', '360.9', '48.5', '54.6', '0.15', '0.15', '23.3', '26.0', '3134', '2576', '674', '759', '731', '1047', '809', '1611', '868', '980', '1498', '1357', '', '', '1001', '950', '129.7', '156.7', '191.0', '204.2', '1.47', '1.30', '785.7', '771.1', '315.9', '356.6', '', '', '1030', '1038', '63.5', '57.2', '34735', '22982', '2084', '1747']
['Athlete 28', 'Squat Jump', '12/9/2019 10:58', '85.8', 'Trial 1', '', '', '', '', '0.2', '7.5', '7.3', '5.5', '3.7', '0.2', '29.0', '7.8', '22.0', '-10.4', '', '-7.2', '7.6', '-5.1', '-12.3', '13.4', '0.7', '', '-4.9', '-21.5', '19.9', '6.0', '', '', '292.3', '292.9', '48.0', '51.9', '0.16', '0.18', '22.2', '23.5', '5822', '6046', '682', '683', '1332', '1877', '842', '913', '1140', '1462', '2016', '1806', '', '', '1021', '948', '116.9', '126.6', '175.3', '166.3', '1.50', '1.31', '583.0', '672.8', '288.4', '290.4', '', '', '1090', '1037', '33.4', '26.2', '85365', '106517', '2902', '3089']
['Athlete 28', 'Squat Jump', '12/9/2019 10:58', '85.8', 'Trial 2', '', '', '', '', '-0.6', '9.8', '10.3', '6.7', '15.9', '-0.6', '43.4', '1.7', '69.9', '-7.6', '', '-6.5', '9.1', '-7.6', '-16.0', '-7.7', '0.6', '', '-3.1', '-16.0', '20.0', '15.6', '', '', '300.3', '298.6', '44.6', '49.5', '0.15', '0.17', '21.3', '22.8', '4064', '4832', '674', '670', '824', '1456', '1264', '1286', '298', '990', '1710', '1579', '', '', '961', '899', '120.8', '132.8', '179.5', '165.8', '1.49', '1.25', '646.7', '596.5', '295.2', '296.8', '', '', '1024', '993', '36.0', '30.3', '93250', '116608', '3544', '4198']
['Athlete 28', 'Squat Jump', '12/9/2019 10:58', '85.8', 'Trial 3', '', '', '', '', '-3.9', '0.8', '4.7', '-1.2', '7.5', '-3.9', '14.6', '-3.1', '16.3', '-4.5', '', '-5.9', '0.7', '-7.3', '-7.9', '-3.9', '-2.9', '', '-3.4', '6.5', '-18.0', '-9.3', '', '', '294.7', '283.3', '51.0', '51.5', '0.17', '0.18', '23.3', '23.0', '4894', '5292', '694', '667', '1815', '2125', '985', '954', '1400', '1672', '1823', '1740', '', '', '971', '914', '124.4', '125.3', '170.3', '157.9', '1.37', '1.26', '358.7', '344.6', '289.4', '281.1', '', '', '1036', '1000', '27.7', '29.6', '153346', '125684', '4294', '3896']
['Athlete 29', 'Squat Jump', '12/9/2019 10:20', '91.5', 'Trial 1', '', '', '', '', '0.4', '5.1', '4.7', '5.3', '-2.5', '0.4', '-0.7', '-10.1', '30.3', '-8.4', '', '-1.9', '2.3', '-1.3', '-3.6', '5.2', '-0.5', '', '-2.8', '29.5', '1.8', '3.2', '', '', '302.3', '303.5', '52.4', '55.2', '0.17', '0.18', '23.3', '24.6', '4832', '4710', '770', '773', '2614', '2596', '2524', '2270', '830', '1190', '1981', '1816', '', '', '978', '959', '135.2', '138.4', '167.2', '165.0', '1.24', '1.19', '671.7', '708.7', '299.5', '298.0', '', '', '1050', '1021', '50.3', '71.3', '35446', '36094', '2446', '2527']
['Athlete 29', 'Squat Jump', '12/9/2019 10:20', '91.5', 'Trial 2', '', '', '', '', '-0.4', '2.4', '2.8', '1.3', '-0.9', '-0.4', '17.5', '-8.5', '54.6', '-4.4', '', '-3.2', '0.0', '-0.8', '-0.8', '11.4', '-1.6', '', '-2.4', '41.9', '42.0', '27.6', '', '', '323.1', '321.7', '47.9', '49.1', '0.15', '0.15', '23.2', '23.5', '5216', '5168', '730', '727', '905', '1097', '2304', '2109', '186', '410', '1653', '1580', '', '', '932', '903', '145.0', '145.0', '178.1', '176.7', '1.23', '1.22', '655.2', '739.5', '319.7', '314.7', '', '', '976', '953', '46.8', '80.7', '25436', '43887', '2162', '2984']
['Athlete 29', 'Squat Jump', '12/9/2019 10:20', '91.5', 'Trial 3', '', '', '', '', '-0.1', '1.7', '1.8', '3.9', '9.4', '-0.1', '-2.5', '-7.6', '-18.1', '-5.4', '', '-3.1', '1.2', '-1.3', '-2.5', '4.8', '-0.4', '', '-0.5', '1.0', '-8.5', '-9.8', '', '', '300.0', '299.7', '57.8', '58.8', '0.19', '0.20', '24.4', '25.4', '4186', '4622', '772', '771', '3215', '3135', '2416', '2234', '2330', '1908', '1951', '1847', '', '', '926', '897', '141.5', '143.2', '158.5', '156.5', '1.12', '1.09', '648.7', '681.4', '295.9', '294.7', '', '', '970', '965', '56.9', '57.5', '34521', '31580', '2486', '2242']
['Athlete 30', 'Squat Jump', '12/9/2019 09:21', '85.3', 'Trial 1', '', '', '', '', '0.3', '-3.5', '-3.8', '-6.4', '15.6', '0.2', '18.5', '16.7', '2.5', '2.0', '', '-4.4', '1.8', '-0.9', '-2.7', '-0.8', '0.7', '', '-0.5', '1.1', '-19.3', '-10.3', '', '', '268.2', '268.8', '54.4', '52.4', '0.20', '0.20', '23.9', '22.4', '2948', '3494', '699', '701', '2131', '2614', '1685', '2022', '1970', '2020', '1643', '1676', '', '', '937', '896', '117.8', '119.9', '150.4', '149.0', '1.28', '1.24', '333.4', '330.6', '264.9', '266.7', '', '', '952', '947', '29.1', '29.4', '270133', '217975', '4862', '4360']
['Athlete 30', 'Squat Jump', '12/9/2019 09:21', '85.3', 'Trial 2', '', '', '', '', '-3.5', '-2.3', '1.3', '-3.4', '5.2', '-3.5', '1.7', '0.2', '-0.9', '-8.1', '', '-6.9', '-1.5', '-5.2', '-3.7', '-7.4', '-3.2', '', '-4.7', '-21.0', '-27.8', '-23.2', '', '', '263.1', '253.8', '57.0', '55.7', '0.22', '0.22', '24.5', '23.7', '3420', '3606', '722', '696', '2849', '2899', '1787', '1790', '2650', '2626', '1764', '1621', '', '', '929', '865', '119.1', '117.3', '144.0', '136.5', '1.21', '1.16', '510.9', '473.0', '260.1', '251.9', '', '', '955', '910', '43.8', '34.6', '87653', '63242', '4120', '3162']
['Athlete 30', 'Squat Jump', '12/9/2019 09:21', '85.3', 'Trial 3', '', '', '', '', '2.4', '3.4', '1.0', '1.6', '14.6', '2.4', '12.8', '3.3', '10.0', '4.2', '', '-0.1', '3.9', '1.2', '-2.7', '-2.6', '2.4', '', '2.5', '-27.9', '-0.5', '-2.9', '', '', '262.5', '269.0', '53.9', '55.8', '0.21', '0.21', '23.5', '23.9', '2962', '3470', '691', '709', '2397', '2750', '1713', '1772', '2206', '2452', '1649', '1722', '', '', '899', '898', '117.5', '122.3', '145.0', '146.8', '1.23', '1.20', '349.0', '339.9', '259.8', '266.2', '', '', '932', '956', '42.4', '30.6', '116693', '116112', '4784', '4644']
['Athlete 31', 'Squat Jump', '12/9/2019 08:39', '82.9', 'Trial 1', '', '', '', '', '5.0', '-0.4', '-5.4', '0.5', '40.4', '5.0', '-97.1', '32.8', '100.0', '-4.6', '', '-4.1', '15.6', '-1.6', '-16.9', '2.9', '6.9', '', '-1.3', '11.2', '6.6', '6.6', '', '', '283.7', '298.6', '36.6', '36.5', '0.13', '0.12', '18.7', '18.8', '4250', '7136', '676', '711', '-136', '-69', '1744', '2595', '-582', '-1190', '2025', '1932', '', '', '1009', '968', '97.2', '115.2', '186.4', '183.4', '1.92', '1.59', '508.4', '523.4', '240.9', '258.7', '', '', '1068', '1054', '43.1', '48.5', '70989', '75972', '3266', '3495']
['Athlete 31', 'Squat Jump', '12/9/2019 08:39', '82.9', 'Trial 2', '', '', '', '', '5.3', '17.1', '12.5', '14.2', '1.2', '5.3', '22.3', '-7.2', '42.9', '-8.5', '', '-0.7', '11.2', '0.6', '-10.7', '14.2', '5.3', '', '-0.8', '11.2', '-13.2', '-13.2', '', '', '253.1', '267.2', '49.1', '59.2', '0.19', '0.22', '21.4', '25.0', '4102', '4150', '739', '780', '2410', '3103', '2890', '2683', '1748', '3060', '2581', '2360', '', '', '975', '968', '104.1', '117.3', '149.0', '149.9', '1.43', '1.28', '494.9', '576.6', '250.8', '264.8', '', '', '1046', '1038', '41.1', '46.3', '108351', '94056', '4226', '3668']
['Athlete 31', 'Squat Jump', '12/9/2019 08:39', '82.9', 'Trial 3', '', '', '', '', '6.2', '5.6', '-0.6', '5.2', '26.1', '6.2', '41.8', '16.4', '43.4', '-4.9', '', '-0.9', '12.7', '2.0', '-10.9', '10.8', '6.6', '', '0.0', '15.9', '-18.5', '-12.6', '', '', '280.3', '298.7', '37.3', '39.5', '0.13', '0.13', '18.5', '19.5', '4064', '5502', '676', '720', '372', '639', '2035', '2435', '-544', '-780', '1967', '1871', '', '', '941', '932', '102.8', '117.7', '177.5', '181.0', '1.73', '1.54', '528.2', '592.3', '245.6', '263.0', '', '', '1001', '1001', '36.7', '43.7', '74178', '60420', '3041', '2658']
['Athlete 32', 'Squat Jump', '12/9/2019 08:26', '94.4', 'Trial 1', '', '', '', '', '0.0', '2.1', '2.2', '1.9', '4.0', '-0.1', '1.8', '8.3', '10.5', '-0.1', '', '0.0', '2.2', '-2.2', '-4.4', '7.0', '0.9', '', '0.1', '-6.3', '31.6', '27.3', '', '', '312.2', '312.0', '64.5', '65.9', '0.21', '0.21', '26.9', '27.4', '4758', '4956', '758', '758', '3438', '3500', '1654', '1803', '3506', '3916', '1556', '1555', '', '', '927', '927', '149.6', '153.0', '162.6', '159.0', '1.09', '1.04', '572.7', '615.9', '305.6', '308.4', '', '', '964', '965', '60.6', '56.7', '29101', '42531', '1979', '2722']
['Athlete 32', 'Squat Jump', '12/9/2019 08:26', '94.4', 'Trial 2', '', '', '', '', '0.6', '3.8', '3.2', '3.5', '-5.3', '0.6', '0.0', '-2.0', '24.1', '-2.6', '', '0.6', '2.4', '-1.0', '-3.4', '-1.3', '0.8', '', '0.2', '15.2', '24.0', '33.2', '', '', '321.7', '323.8', '55.6', '57.9', '0.17', '0.18', '23.9', '24.8', '4870', '4610', '749', '753', '2899', '2899', '1870', '1833', '940', '1238', '1471', '1433', '', '', '897', '903', '149.1', '152.8', '172.7', '171.0', '1.16', '1.12', '612.6', '604.6', '316.8', '319.4', '', '', '944', '946', '56.0', '66.1', '26365', '34674', '1714', '2566']
['Athlete 13', 'Squat Jump', '10/4/2019 17:51', '96.6', 'Trial 1', '', '', '', '', '-3.7', '9.3', '12.6', '9.4', '-31.9', '-3.7', '10.5', '-100.0', '38.5', '-22.2', '', '-3.0', '1.4', '-5.3', '-6.6', '-7.9', '-6.4', '', '-11.3', '-13.3', '-10.7', '-7.7', '', '', '614.3', '591.7', '50.3', '55.4', '0.08', '0.09', '23.8', '26.3', '15248', '10380', '618', '596', '954', '1066', '77', '-142', '632', '1028', '1248', '971', '', '', '990', '960', '147.2', '149.2', '467.2', '442.5', '3.17', '2.97', '828.5', '763.1', '453.8', '424.8', '', '', '1309', '1161', '69.3', '60.1', '55714', '49743', '3287', '3034']
['Athlete 13', 'Squat Jump', '10/4/2019 17:51', '96.6', 'Trial 2', '', '', '', '', '-12.9', '0.3', '13.1', '1.7', '-37.3', '-12.8', '-42.2', '-51.1', '-68.2', '-44.2', '', '-20.1', '-3.9', '-24.4', '-21.4', '-9.4', '-9.1', '', '-15.1', '3.9', '-14.8', '-10.8', '', '', '173.5', '151.2', '49.9', '50.0', '0.29', '0.33', '24.3', '24.7', '3554', '2230', '496', '433', '631', '365', '1449', '709', '308', '98', '1626', '907', '', '', '711', '568', '97.6', '93.9', '75.9', '57.3', '0.78', '0.61', '625.4', '566.8', '149.3', '135.7', '', '', '780', '662', '152.6', '158.9', '5815', '4953', '1338', '1194']
['Athlete 1', 'Squat Jump', '2/11/2019 16:17', '87.6', 'Trial 1', '', '', '', '', '-16.1', '-10.6', '6.1', '-13.7', '-27.8', '-16.1', '12.3', '2.0', '19.0', '-9.8', '', '-20.1', '-6.4', '-22.8', '-17.5', '-22.4', '-14.0', '', '-12.4', '-35.8', '-66.6', '-56.1', '', '', '298.0', '250.1', '55.5', '49.6', '0.19', '0.20', '25.1', '21.7', '4408', '3182', '762', '639', '1938', '2210', '1777', '1814', '1264', '1560', '2245', '2024', '', '', '1085', '867', '121.6', '113.8', '176.5', '136.3', '1.45', '1.20', '759.4', '589.3', '290.0', '249.3', '', '', '1119', '980', '64.2', '41.2', '45780', '15301', '2930', '1285']
['Athlete 1', 'Squat Jump', '2/11/2019 16:17', '87.6', 'Trial 2', '', '', '', '', '-15.1', '-5.2', '10.4', '-4.1', '-8.7', '-15.1', '-13.1', '-26.4', '-5.9', '-18.2', '', '-16.6', '-8.0', '-20.6', '-13.7', '-18.6', '-13.6', '', '-12.3', '-19.3', '-24.0', '-17.8', '', '', '294.2', '249.7', '59.1', '56.0', '0.20', '0.22', '25.7', '24.6', '3540', '3232', '784', '665', '2773', '2409', '2281', '1678', '3170', '2984', '2220', '1816', '', '', '1034', '862', '127.4', '117.2', '166.8', '132.5', '1.31', '1.13', '799.3', '650.4', '287.0', '248.0', '', '', '1072', '939', '67.8', '54.7', '24493', '18619', '1812', '1490']
['Athlete 1', 'Squat Jump', '2/11/2019 16:17', '87.6', 'Trial 3', '', '', '', '', '-17.0', '-11.3', '6.4', '-10.7', '4.6', '-17.0', '-22.5', '-16.4', '8.7', '-11.4', '', '-16.3', '-11.8', '-21.0', '-10.4', '-8.5', '-15.0', '', '-12.0', '-28.4', '-35.9', '-34.2', '', '', '299.0', '248.2', '57.7', '51.2', '0.19', '0.21', '25.6', '22.8', '2872', '3010', '768', '638', '2414', '1870', '1925', '1610', '2104', '2304', '2040', '1807', '', '', '1046', '875', '130.6', '115.1', '168.4', '133.1', '1.29', '1.16', '704.3', '644.2', '290.7', '247.0', '', '', '1067', '939', '60.2', '43.1', '40278', '25822', '2981', '1962']
['Athlete 1', 'Squat Jump', '2/11/2019 16:17', '87.6', 'Trial 4', '', '', '', '', '-14.4', '-4.9', '9.9', '-8.8', '9.0', '-14.4', '19.3', '-16.0', '24.5', '-7.6', '', '-16.2', '-7.2', '-20.0', '-13.8', '-22.8', '-12.5', '', '-10.2', '-12.9', '-51.0', '-45.9', '', '', '306.6', '262.6', '55.6', '52.8', '0.18', '0.20', '25.0', '22.8', '2886', '3170', '753', '645', '2018', '2501', '2034', '1709', '1832', '2426', '1772', '1637', '', '', '988', '828', '135.5', '125.7', '171.1', '136.8', '1.26', '1.09', '804.4', '621.3', '298.6', '261.4', '', '', '1007', '904', '58.0', '50.5', '30038', '14729', '2343', '1267']
